Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
27-SEP-2022,26922.5,27101.1,26682.15,27004.15,27430316,3671.72
26-SEP-2022,26431.9,27049.2,26186.7,26743.65,31600566,3974.65
23-SEP-2022,26715.65,27063.5,26560.95,26592.35,27880896,3723.2
22-SEP-2022,26659.05,27009.05,26552.45,26782.65,27282240,3347.67
21-SEP-2022,26896.8,27020.5,26805.45,26843.25,25946350,3114.3
20-SEP-2022,27079.15,27370.35,26969.55,27020.6,19633125,2783
19-SEP-2022,26882.65,27034,26506.9,26810.15,22626146,2945.03
16-SEP-2022,27530.6,27575.55,26632.95,26706.45,50177465,6844.52
15-SEP-2022,28232.85,28265.75,27684.4,27734.35,28065493,3875.08
14-SEP-2022,28215.75,28284.05,28040.3,28137.6,43304784,6349.33
13-SEP-2022,29334.05,29344.9,29062.6,29116.85,18120560,2667.95
12-SEP-2022,28975.9,29296.2,28932.05,29131.2,23672767,3538.28
09-SEP-2022,28343.8,28848.4,28127.45,28724,21540502,2896.6
08-SEP-2022,28109.7,28206.6,27959.65,28102.4,19788487,2386.4
07-SEP-2022,27500.5,27917.8,27487.7,27832.4,17889290,2190.52
06-SEP-2022,27884.85,27967.1,27580.35,27742.8,21152697,2453.14
05-SEP-2022,27727,27978.8,27669.4,27836.6,20041163,2367.6
02-SEP-2022,28083.3,28085.35,27717.15,27745.8,16970130,2375.54
01-SEP-2022,27987.35,28020,27710.05,27846.8,28429986,4030.59
30-AUG-2022,27971.95,28466.8,27831.35,28407.9,30136516,4139.09
29-AUG-2022,27648.1,27773.1,27333.05,27678.95,35907353,4317.6
26-AUG-2022,28862.35,29067.55,28638.95,28691.6,14900777,2122.03
25-AUG-2022,29061.55,29081.75,28561.8,28608.65,18210337,2597.09
24-AUG-2022,28981.35,29120.3,28762.45,28859.85,13487911,2006.12
23-AUG-2022,29041.6,29188.9,28714.15,28957.85,25297084,3372.01
22-AUG-2022,29847.35,29881.75,29430.95,29478.9,19866845,2724.46
19-AUG-2022,30095.45,30474.65,29943.9,30036.1,25515505,3623.99
18-AUG-2022,30148.8,30166.1,29857.65,30018.9,22277628,2870.75
17-AUG-2022,29917.35,30328.15,29784.15,30256.9,22060571,3161.18
16-AUG-2022,30130.9,30141.35,29826.25,29909,12596397,1863.95
12-AUG-2022,30184.95,30195,29819.15,29885.9,15071434,2291.73
11-AUG-2022,30164.2,30388.9,30073.95,30233.7,18763473,2863.89
10-AUG-2022,30013.45,30013.45,29456.8,29701.15,19573121,2710.89
08-AUG-2022,29999.15,30036.75,29694.15,29967.7,15225787,2068.18
05-AUG-2022,29891.85,30080.2,29799.2,29973.55,20180069,2767.02
04-AUG-2022,29694.05,29972.35,29278.15,29782.9,30918769,4423.62
03-AUG-2022,29002.3,29453.35,28929.9,29416.95,25600876,4003.48
02-AUG-2022,29131.1,29153.05,28871.2,29024.65,21443317,2694.48
01-AUG-2022,29376.65,29376.65,28928.95,29220,16485146,2304.82
29-JUL-2022,28983.25,29355,28909.15,29152.3,31458550,4710.11
28-JUL-2022,28225.1,28703.4,28170.45,28663.05,27396334,4180.12
27-JUL-2022,27420.65,27908.25,27339.95,27878.8,19663845,2564.29
26-JUL-2022,28157.5,28157.5,27383.95,27418.85,29869337,4174.68
25-JUL-2022,28006.65,28320.85,27890.65,28216,23842957,3428.81
22-JUL-2022,28429.55,28549.25,27862.05,28168.15,27428390,3988.16
21-JUL-2022,28116.55,28369.95,27848.75,28342.9,42420527,4613.6
20-JUL-2022,27701.05,28175.5,27631.4,28146.35,35884280,4825.2
19-JUL-2022,27071.8,27399.5,27065.8,27346.1,23347451,3375.15
18-JUL-2022,26801.75,27376.2,26785.8,27322.95,28788735,4229.65
15-JUL-2022,26664.3,26734,26189.4,26484.7,34101260,4767.09
14-JUL-2022,27155,27162.9,26298,26523.3,29820417,4793.39
13-JUL-2022,27228.95,27247.45,26872.75,26949.75,32810008,4427.91
12-JUL-2022,27248.2,27504.4,27022.85,27063.75,22932784,3441.23
11-JUL-2022,27855.75,27941.2,27195.65,27380.55,30951187,4745.7
08-JUL-2022,28450.55,28459.55,28095.35,28250.3,18446136,2649.36
07-JUL-2022,28217.8,28459.25,28077.05,28196.35,17533750,2507.99
06-JUL-2022,27778.65,28148.9,27628.55,28007.6,19427285,2706.18
05-JUL-2022,28020.3,28233.05,27642.6,27695.15,22705381,3158.56
04-JUL-2022,28084.25,28174.4,27643.65,27890.65,16524407,2554.89
01-JUL-2022,27718.8,28151,27524.3,28064.25,17362585,2460.19
30-JUN-2022,28131.95,28325.65,27775.75,27843.35,27076982,3847.46
29-JUN-2022,28105.7,28446.45,28046.75,28140.1,25444562,3416.52
28-JUN-2022,28218.5,28602.05,27983.6,28509.1,19226448,2520.28
27-JUN-2022,28293.2,28588.7,28251.4,28345.95,22475829,3084.95
24-JUN-2022,28261,28361.2,27631.45,27777.8,24590964,3294.82
23-JUN-2022,27532.75,28100.05,27532.75,28027.8,26709205,3585.12
22-JUN-2022,27656.3,27824.05,27426.05,27488.35,25073379,3427.32
21-JUN-2022,27202.9,27895,27137.9,27810.6,23005374,3324.07
20-JUN-2022,26819.45,27112.65,26544.8,26966.2,22760198,2533.63
17-JUN-2022,26866.6,26993.55,26399.75,26732.45,50935283,6045.02
16-JUN-2022,28191.85,28224.5,27067.45,27136.45,29164796,3673.19
15-JUN-2022,28017.95,28131.15,27786.65,27812.45,18639784,2323.64
14-JUN-2022,27626.2,28249.6,27502.05,27953.35,25855407,3620.1
13-JUN-2022,28419.85,28443.85,27792.1,27914.6,22929744,3346.17
10-JUN-2022,29299.5,29350.6,29022.75,29114.3,23629153,2942.59
09-JUN-2022,29254.4,29802.8,29062.2,29761.55,14136769,2166.12
08-JUN-2022,29519.65,29588.4,29155.6,29472.15,14178015,2398.41
07-JUN-2022,29593.45,29650.55,29243.9,29351.7,14331084,2433.87
06-JUN-2022,29750.7,29972.85,29281.45,29819.8,22444891,3009.95
03-JUN-2022,30169.95,30559,29858.15,29903.8,33120446,4615.39
02-JUN-2022,29249.8,29875.35,29197.9,29792.35,24057063,3730.54
01-JUN-2022,29822.15,29829.75,29148.55,29260.75,22442333,3288.5
31-MAY-2022,29609.1,29807.35,29294.35,29679.05,55252534,7750.03
30-MAY-2022,29084.1,29837.65,29069,29753.3,27976399,4260.99
27-MAY-2022,28302.3,28728.3,28210.8,28641.6,25688445,3922.44
26-MAY-2022,27729.15,28040.25,27516.4,27932.55,31528420,4560.43
25-MAY-2022,28470.9,28479.35,27423.8,27566.1,33559094,4911.98
24-MAY-2022,29123.6,29141.55,28425.4,28531.5,23386288,3107.38
23-MAY-2022,28861.35,29308.25,28604.7,29079.3,22038278,3087.21
20-MAY-2022,28884.75,28897.45,28577.65,28789.4,26473799,4005.19
19-MAY-2022,29448.45,29495.15,28193.6,28352.15,45418687,6588.44
18-MAY-2022,30367.5,30823.15,30045.65,30077.7,27936140,4230
17-MAY-2022,29503.3,30313.9,29339.65,30218.7,23390391,3509.79
16-MAY-2022,29680.65,29875.25,29278.35,29403.5,18000700,2756.07
13-MAY-2022,30062.8,30115.05,29539.05,29624.85,24138377,3486.29
12-MAY-2022,29744.5,30184.35,29497.25,29756.85,26442170,4105.81
11-MAY-2022,30425.55,30548.55,29669.25,30050.2,29143437,3991.35
10-MAY-2022,30635,30785.95,30343.1,30427.2,22868419,3310.68
09-MAY-2022,30490.95,30934.45,30019.8,30733.3,31429668,4903.19
06-MAY-2022,30803.75,30881.1,30278.85,30719.45,31923002,4967.75
05-MAY-2022,31215.7,31470.15,31117.5,31432.45,21081164,3088.83
04-MAY-2022,31260.4,31452.8,30663.4,30794.6,25009379,3526.7
02-MAY-2022,31377.35,31409.65,30940.65,31138.8,37011809,3925.15
29-APR-2022,32135.9,32212.9,31541.35,31622.4,33459591,4710.75
28-APR-2022,31858.5,32156.3,31468.15,31914.35,27996684,4293.01
27-APR-2022,31689.85,31689.85,31276.15,31594.35,26881244,4009.97
26-APR-2022,32088.95,32141.45,31683.2,31840.05,19451115,3247.66
25-APR-2022,32103.2,32130.45,31637.45,31744,22486329,3779.72
22-APR-2022,32287.85,32748.85,32186.4,32426.7,30140785,5089.79
21-APR-2022,32399.6,32700,32145.3,32611.6,26514008,4767.71
20-APR-2022,32030.75,32306.35,31718.15,32173.35,27946046,5514.31
